toi,tic,cps_name,evol,source,disp,photo_vetting,spec_vetting,ao_vetting,ra,dec,tmag,tmag_err,bmag,vmag,b_v,jmag,hmag,kmag,gmag,bpmag,bp_g,delta_g,delta_g_flag,j,j_prime,nobs,last_observed,template,nobs_goal,tot_time,rem_nobs,rem_time,n_comments,last_comment,rs,rs_err,r_s,m_s,teff,teff_err,t_eff,teff_jump,logg,logg_err,logg_jump,feh,f_eh,ast_det_c,c_sector,ast_det_t,t_sector,color,vsini,prot,sval,sigma_act,sigma_rot,sigma_gran,sigma_rv,sigma_tot,limit,logrhk,ruwe,rp,rp_err,mp,k,kerr,ksig,epoch,epoch_err,period,period_err,dur,dur_err,b_est,circ_dur,circ_dur_err,max_circ_dur,a_to_R,depth,depth_err,teq,sinc,SNR,dist,prv,ra_J2000,dec_J2000,drop,finish,nobs_5sig,rt_5sig,tt_5sig,nobs_10sig,rt_10sig,tt_10sig,alerted,updated,tks_comments,toi_comments,comment_list,activity
1373.01,176899385,-,MS,qlp,KP,-,-,-,354.7742,42.466,9.996,0.006,10.884,10.469000000000000,0.415,9.558,9.44,9.313000000000000,10.306,10.539000000000000,0.247,0.294,FALSE,,,0.0,-1.0,FALSE,60.0,11.12,60.0,11.12,0.0,-1.0,1.57,0.09,1.57,1.5,6893.0,147.0,6893.0,-1.0,4.22,0.1,,,-0.034,0.05,2.0,0.05,2.0,,,,,0.0,0.0,2.46,1.39,2.83,TRUE,,1.08,14.97,0.83,317.83,98.91,0.36,274.75,1740.1887,0.0004,3.85288,5E-05,3.26,0.18,0.54,3.33,0.89,3.9,7.54,8780.0,1.07,1607.0,1107.0,176.0,275.36,FALSE,23 39 05.8,+42 27 57,FALSE,FALSE,20.0,3.84,3.84,30.0,5.66,5.66,2019-10-30 21:47:36+0000,2020-05-20 19:58:55+0000,-,HAT-P-6 b,-,
1374.01,190430205,-,SG,qlp,PNEB,-,-,-,324.9225,46.2202,9.826,0.011,10.218,10.12,0.098,9.501,9.504,9.455,9.96,10.079,0.132,1.568,FALSE,,,0.0,-1.0,FALSE,60.0,8.61,60.0,8.61,0.0,-1.0,4.94,0.19,4.94,2.34,9222.0,179.0,9222.0,-1.0,3.42,0.07,,,,0.05,2.0,0.05,2.0,,,,,0.0,0.0,11.61,1.39,11.69,TRUE,,0.89,10.36,0.81,76.03,26.98,1.51,17.87,1712.0687,0.0107,1.06884,0.00034,2.51,0.47,0.93,5.94,1.55,6.9,1.18,470.0,1.71,3736.0,32361.0,11.0,1013.56,FALSE,21 39 41.4,+46 13 12,FALSE,FALSE,20.0,2.97,2.97,30.0,4.38,4.38,2019-10-30 21:47:37+0000,2020-05-20 19:58:50+0000,-,Low SNR,-,
1375.01,190442486,-,MS,qlp,NEB,-,-,-,324.9355,41.9508,10.457,0.016,11.022,10.57,0.452,10.106,9.986,9.923,10.689,10.865,0.191,-0.326,FALSE,,,0.0,-1.0,FALSE,60.0,11.68,60.0,11.68,0.0,-1.0,1.51,0.05,1.51,1.71,7465.0,170.0,7465.0,-1.0,4.31,0.08,,,,0.05,2.0,0.05,2.0,,,,,0.0,0.0,2.73,1.41,3.07,TRUE,,0.99,5.22,0.41,23.74,6.03,0.4,15.08,1715.2531,0.0142,5.4572700000000000,0.00233,3.2,0.66,0.61,3.48,0.9,4.03,10.33,1180.0,4.96,1511.0,866.0,13.0,365.17,FALSE,21 39 44.5,+41 57 02,FALSE,FALSE,20.0,4.04,4.04,30.0,5.95,5.95,2019-10-30 21:47:37+0000,2020-05-20 19:58:52+0000,-,Minor depth-aperture correlation,-,
1376.01,190743990,-,MS,qlp,PNEB,-,-,-,325.7872,45.6469,10.257,0.006,11.373,10.776,0.597,9.687000000000000,9.419,9.355,10.673,11.0,0.342,0.8110000000000000,FALSE,,,0.0,-1.0,FALSE,60.0,12.6,60.0,12.6,0.0,-1.0,1.45,0.06,1.45,1.12,6026.0,128.0,6026.0,-1.0,4.16,0.08,,,,0.05,2.0,0.05,2.0,,,,,0.0,0.0,1.89,1.48,2.4,TRUE,,0.95,4.9,0.38,21.33,10.52,0.31,33.94,1712.3333,0.0031,1.73866,0.00018,1.27,0.4,0.91,2.62,0.69,3.05,4.36,1020.0,3.74,1540.0,934.0,13.0,240.01,FALSE,21 43 08.9,+45 38 48,FALSE,FALSE,20.0,4.38,4.38,30.0,6.44,6.44,2019-10-30 21:47:37+0000,2020-05-20 19:58:59+0000,-,,-,
1377.01,240613164,-,-,qlp,NEB,-,-,-,326.3052,45.8126,10.144,0.009000000000000000,10.139,10.097000000000000,0.042,10.057,10.118,10.121,10.102,10.112,0.023,2.557,FALSE,,,0.0,-1.0,FALSE,60.0,8.47,60.0,8.47,0.0,-1.0,,,,,9458.0,455.0,-1.0,-1.0,,,,,,,2.0,,2.0,,,,,0.0,0.0,0.0,1.39,1.39,TRUE,,0.97,,,,,0.18,,1712.0532,0.0012,1.99143,8E-05,4.14,0.07,,,,,,16745.8,646.57,5058.0,108701.0,65.0,4984.88,FALSE,21 45 13.2,+45 48 45,FALSE,FALSE,20.0,2.92,2.92,30.0,4.31,4.31,2019-10-30 21:47:37+0000,2019-10-30 21:47:37+0000,-,no Rs; could be off target,-,
1378.01,249812036,-,MS,qlp,PC,-,-,-,339.7855,49.4266,9.624,0.013,10.011000000000000,9.824,0.187,9.335,9.283,9.23,9.757,9.869,0.124,0.28600000000000000,FALSE,,,0.0,-1.0,FALSE,60.0,7.03,60.0,7.03,0.0,-1.0,2.92,0.1,2.92,2.02,8224.0,161.0,8224.0,-1.0,3.81,0.07,,,,0.05,2.0,0.05,2.0,,,,,0.0,0.0,5.83,1.39,5.99,TRUE,,1.01,29.08,4.89,317.83,70.86,0.77,92.03,1741.1476,0.0012,5.77804,0.00028,2.38,0.15,0.94,6.48,1.69,7.52,5.87,5170.0,221.68,1878.0,2065.0,51.0,547.4,FALSE,22 39 08.5,+49 25 35,FALSE,FALSE,20.0,2.42,2.42,30.0,3.57,3.57,2019-10-30 21:47:37+0000,2020-05-20 19:58:56+0000,-,2 stars in pixel,-,
1379.01,252490659,-,MS,qlp,SB2,-,-,-,344.3598,53.1409,10.384,0.006,11.46,11.003,0.457,9.823,9.589,9.52,10.77,11.069,0.314,1.321,FALSE,,,0.0,-1.0,FALSE,60.0,13.73,60.0,13.73,0.0,-1.0,2.07,0.06,1.96,1.33,5984.0,82.0,6503.0,-1.0,3.98,0.08,,,,0.0501,2.0,0.0501,2.0,,,,,0.0,0.0,2.74,1.57,3.16,TRUE,,0.98,30.7,9.66,317.83,,0.41,,1739.4142,0.002,,,4.12,0.27,,,,,,18121.2,1779.6,1283.0,449.0,33.0,366.24,FALSE,22 57 26.4,+53 08 27,FALSE,FALSE,20.0,4.8,4.8,30.0,7.03,7.03,2019-10-30 21:47:37+0000,2019-10-30 21:47:37+0000,-,Single transit,-,
1380.01,274170255,-,SG,qlp,PC,-,-,-,316.4462,46.8451,9.328,0.006,11.224,10.145,1.079,8.508,8.062000000000000,7.93,9.906,10.407,0.513,3.5670000000000000,FALSE,,,0.0,-1.0,FALSE,60.0,8.76,60.0,8.76,0.0,-1.0,3.84,,3.84,,5197.0,122.0,5197.0,-1.0,,,,,,0.7652,2.0,0.7652,2.0,,,,,0.0,0.0,0.0,1.39,1.39,TRUE,,0.97,8.5,,54.33,18.09,0.18,100.5,1712.0495,0.0055,1.41072,0.00028,2.62,0.4,0.9,5.12,1.35,5.97,1.8,500.0,1.06,1863.0,2001.0,14.0,305.67,FALSE,21 05 47.1,+46 50 42,FALSE,FALSE,20.0,3.02,3.02,30.0,4.46,4.46,2019-10-30 21:47:37+0000,2020-05-20 19:58:51+0000,-,Crowded field; likely EB; some depth-aperture correlation,-,
1381.01,275722992,-,MS,qlp,PC,-,-,-,318.785,44.8997,10.379,0.019,10.626,10.548,0.078,10.059,10.007,9.985,10.475,10.572000000000000,0.111,-0.033,FALSE,,,0.0,-1.0,FALSE,60.0,11.58,60.0,11.58,0.0,-1.0,2.62,0.08,2.62,2.55,9976.0,352.0,9976.0,-1.0,4.01,0.06,,,,0.05,2.0,0.05,2.0,,,,,0.0,0.0,7.61,1.4,7.74,TRUE,,0.95,10.66,0.63,79.8,14.61,1.0,14.61,1715.3182,0.0071,6.560340000000000,0.00137,3.03,0.51,0.89,5.62,1.45,6.51,7.69,1570.0,3.57,1782.0,1676.0,14.0,737.11,FALSE,21 15 08.4,+44 53 58,FALSE,FALSE,20.0,4.01,4.01,30.0,5.9,5.9,2019-10-30 21:47:37+0000,2020-05-20 19:58:54+0000,-,2 stars in pixel,-,
1382.01,276360911,-,MS,qlp,FA,-,-,-,329.0534,55.74100000000000,9.624,0.006,10.471000000000000,10.111,0.36,9.165,9.053000000000000,9.032,9.914,10.14,0.239,0.6460000000000000,FALSE,,,0.0,-1.0,FALSE,60.0,8.56,60.0,8.56,0.0,-1.0,1.88,0.08,1.88,1.61,7184.0,558.0,7184.0,-1.0,4.1,0.12,,,,0.05,3.0,0.05,3.0,,,,,0.0,0.0,3.09,1.39,3.39,TRUE,,,10.89,0.74,82.75,50.46,0.44,114.68,1738.8962,0.0019,0.44482,5E-05,1.06,0.17,0.88,1.91,0.5,2.22,1.53,1610.0,7.3,3038.0,14152.0,11.0,285.67,FALSE,21 56 12.8,+55 44 27,FALSE,FALSE,20.0,2.95,2.95,30.0,4.35,4.35,2019-10-30 21:47:37+0000,2020-05-20 19:58:49+0000,-,,-,
