SC1A,SC1B,SC1C,SC1D,SC1E,SC2A,SC2Bi,SC2Bii,SC2C,SC3,SC4,TOA,TOB
-,-,261.01,-,-,-,-,-,261.01,1807.01,664.01,-,480.01
-,-,-,-,-,-,-,-,-,1835.01,852.01,-,554.01
-,-,-,-,-,-,-,-,-,1835.02,1510.01,-,1410.01
-,-,-,-,-,-,-,-,-,-,1684.01,-,1430.01
-,-,-,-,-,-,-,-,-,-,1822.01,-,1437.01
-,-,-,-,-,-,-,-,-,-,1848.01,-,-
-,-,-,-,-,-,-,-,-,-,2065.01,-,-
