toi,tic,evol,source,disp,photo_vetting,spec_vetting,ao_vetting,ra,dec,vmag,jmag,nobs,template,nobs_goal,tot_time,rem_nobs,rem_time,r_s,teff,teff_err,t_eff,f_eh,ast_det_t,ruwe,rp,rp_err,mp,period,period_err,a_to_R,sinc,rt_5sig,drop,finish
148.01,393940766,MS,qlp,BD,-,-,-,338.3207,-38.1597,12.398,11.213,0.0,FALSE,60.0,28.02,60.0,28.02,1.15,5814.0,793.0,6060.0,,0.05,1.01,9.7,3.16,67.99,4.8661,0.00101,10.95,326.0,9.84,FALSE,FALSE
149.01,260985861,-,qlp,VPC,-,-,-,76.6359,-80.7682,10.727,9.665,0.0,FALSE,60.0,12.37,60.0,12.37,,5095.0,1212.0,-1.0,,,,,,,3.33996,2E-05,,831.0,4.3,FALSE,FALSE
150.01,271893367,SG,qlp,VPC+,-,-,-,112.9657,-73.6062,11.39,10.324000000000000,0.0,FALSE,60.0,15.95,60.0,15.95,1.68,5982.0,108.0,5982.0,0.21100000000000000,0.0501,0.95,14.04,0.62,317.83,5.85743,2E-05,8.41,772.0,5.64,FALSE,FALSE
151.01,382302241,MS,qlp,NEB,-,-,-,83.34900000000000,-58.7452,11.794,10.277000000000000,0.0,FALSE,60.0,18.73,60.0,18.73,0.77,5037.0,64.0,5144.0,0.102,0.05,0.9,3.6,0.21,8.85,1.59783,0.00034,7.13,955.0,6.71,FALSE,FALSE
152.01,403287048,MS,qlp,NEB,-,-,-,332.3578,-62.334,11.948,10.771000000000000,0.0,FALSE,60.0,19.88,60.0,19.88,1.25,6347.0,102.0,6343.0,,0.05,1.13,8.13,0.63,50.38,7.00776,0.00315,13.32,302.0,7.13,FALSE,FALSE
153.01,231081369,MS,qlp,BEB,-,-,-,68.0736,-66.9164,12.217,11.228,0.0,FALSE,60.0,24.14,60.0,24.14,1.49,6338.0,291.0,6142.0,-0.26900000000000000,0.05,18.85,,,,7.63227,0.00108,11.86,441.0,8.55,FALSE,FALSE
154.01,389525208,SG,qlp,NEB,-,-,-,313.2615,-38.5949,10.493,9.539,0.0,FALSE,60.0,11.32,60.0,11.32,2.57,5910.0,162.0,6149.0,,0.05,1.14,41.34,11.94,317.83,6.747090000000000,0.00067,6.16,433.0,3.92,FALSE,FALSE
155.01,129637892,MS,qlp,PC,-,-,-,321.115,-37.8501,9.557,8.534000000000000,0.0,FALSE,60.0,5.94,60.0,5.94,1.79,6220.0,151.0,6540.0,,0.05,0.87,18.37,3.17,317.83,5.43636,0.00194,8.04,-1.0,2.04,FALSE,FALSE
156.01,220518305,MS,qlp,SB1,-,-,-,41.4673,-64.3207,10.721000000000000,9.788,0.0,FALSE,60.0,12.35,60.0,12.35,1.28,5823.0,138.0,6241.0,0.19,0.05,1.13,21.78,6.58,317.83,14.148930000000000,0.00189,20.5,-1.0,4.29,FALSE,FALSE
157.01,140691463,MS,qlp,VPC+,-,-,-,73.7012,-76.6805,12.725,11.371000000000000,0.0,FALSE,60.0,32.75,60.0,32.75,1.11,5638.0,133.0,5638.0,,0.05,1.01,12.87,0.7,317.83,2.08461,1E-05,6.19,629.0,11.42,FALSE,FALSE
158.01,403136413,SG,qlp,NPC,-,-,-,333.5786,-55.379,11.878,10.66,0.0,FALSE,60.0,19.37,60.0,19.37,2.21,5988.0,137.0,6115.0,-0.03,0.0502,1.16,13.36,0.73,317.83,2.51266,0.00045,3.69,793.0,6.96,FALSE,FALSE
159.01,394657039,MS,qlp,VPC+,-,-,-,51.782,-78.5498,11.021000000000000,10.038,0.0,FALSE,60.0,13.82,60.0,13.82,1.59,6979.0,136.0,6979.0,0.17,0.05,1.07,17.97,0.82,317.83,3.76285,1E-05,7.38,2498.0,4.84,FALSE,FALSE
160.01,253917293,MS,qlp,NPC,-,-,-,337.5007,-31.9243,11.738,10.701000000000000,0.0,FALSE,60.0,18.31,60.0,18.31,1.27,5935.0,141.0,6042.0,,0.05,1.31,8.0,0.54,49.02,4.6080000000000000,0.001,9.53,724.0,6.55,FALSE,FALSE
161.01,348770361,MS,qlp,CPC,-,-,-,46.6861,-82.3164,12.492,10.837,0.0,FALSE,60.0,30.31,60.0,30.31,0.98,5388.0,-1.0,5388.0,,0.05,,6.41,,33.65,2.76898,0.00047,8.44,1642.0,10.6,FALSE,FALSE
162.01,99493790,MS,qlp,SB1,-,-,-,317.6397,-23.3057,12.367,10.985,0.0,FALSE,60.0,27.31,60.0,27.31,0.99,5404.0,43.0,5526.0,,0.05,1.27,17.51,0.42,317.83,7.76686,0.00094,16.51,82.0,9.6,FALSE,FALSE
163.01,179317684,MS,qlp,P,-,-,-,79.7682,-71.8956,11.467,10.404000000000000,0.0,FALSE,60.0,16.44,60.0,16.44,1.66,6671.0,130.0,6671.0,,0.0501,0.76,14.65,0.69,317.83,4.23115,1E-05,7.44,1215.0,5.83,FALSE,FALSE
164.01,79395355,MS,qlp,NPC,-,-,-,320.0542,-51.3099,11.772,10.926000000000000,0.0,FALSE,60.0,18.56,60.0,18.56,1.23,5926.0,79.0,6099.0,,0.05,1.35,8.8,0.51,57.63,7.318980000000000,0.00224,13.52,468.0,6.65,FALSE,FALSE
165.01,350743714,MS,spoc,SB1,-,-,-,88.8859,-57.2906,10.1,,0.0,FALSE,60.0,8.49,60.0,8.49,1.46,6038.0,54.0,6615.0,,0.061,1.07,13.74,2.07,317.83,7.76178,0.001112,12.59,640.0,2.93,FALSE,FALSE
166.01,147203645,MS,qlp,VPC+,-,-,-,323.1959,-44.0178,11.328,10.062000000000000,0.0,FALSE,60.0,15.56,60.0,15.56,1.0,5254.0,152.0,5399.0,,0.05,0.92,12.83,1.79,317.83,5.06187,0.00094,12.16,89.0,5.49,FALSE,FALSE
167.01,149990841,-,qlp,VPC,-,-,-,90.6623,-64.8195,12.236000000000000,,0.0,FALSE,60.0,24.52,60.0,24.52,,5766.0,158.0,-1.0,,,43.62,,,,4.45319,2E-05,,325.0,8.67,FALSE,FALSE
168.01,369457671,MS,qlp,VPC+,-,-,-,311.6435,-37.9044,12.475,10.553000000000000,0.0,FALSE,60.0,29.88,60.0,29.88,0.73,4801.0,126.0,4638.0,,0.05,0.92,3.38,0.26,8.35,2.31257,0.00078,9.12,148.0,10.46,FALSE,FALSE
169.01,183120439,MS,qlp,VPC+,-,-,-,16.7783,-75.1989,12.355,11.181,0.0,FALSE,60.0,27.04,60.0,27.04,1.3,5817.0,126.0,5817.0,,0.05,0.93,11.54,0.65,317.83,2.25596,0.00014,5.66,181.0,9.51,FALSE,FALSE
170.01,394698182,MS,qlp,VPC+,-,-,-,54.9885,-83.0886,12.557,11.386,0.0,FALSE,60.0,32.01,60.0,32.01,1.22,5973.0,131.0,5973.0,,0.05,1.03,15.24,0.75,317.83,3.7118,0.00021,8.54,412.0,11.17,FALSE,FALSE
171.01,309257814,MS,spoc,VPC+,-,-,-,124.2695,-63.2135,12.145,10.745,0.0,FALSE,60.0,22.77,60.0,22.77,1.11,5237.0,183.0,5196.0,,0.0507,1.29,14.77,3.05,317.83,1.2385960000000000,6.2E-05,4.19,1996.0,8.09,FALSE,FALSE
171.02,309257814,MS,spoc,VPC,-,-,-,124.2695,-63.2135,12.145,10.745,0.0,FALSE,60.0,22.77,60.0,22.77,1.11,5237.0,183.0,5196.0,,0.0507,1.29,14.73,24.66,317.83,1.814118,0.000394,5.41,1200.0,8.09,FALSE,FALSE
172.01,29857954,SG,qlp,P,-,-,-,316.6319,-26.6926,11.299000000000000,10.135,0.0,FALSE,60.0,15.39,60.0,15.39,1.79,5801.0,235.0,5759.0,,0.05,1.08,12.19,1.07,317.83,9.47572,0.00316,10.64,187.0,5.43,FALSE,FALSE
